route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2131-101,A,B12,Fornebu/Aker brygge,,4,,FFFFFF,000000
2131-201,A,B20,Slemmestad/Aker brygge,,4,,FFFFFF,000000
2131-601,A,B10,Nesoddtangen/Aker brygge,,4,,FFFFFF,000000
2131-603,A,B11,Nesoddtangen/Lysaker,,4,,FFFFFF,000000
2260-331,A,331,Ask/Oslo Bussterminal,,3,,FFFFFF,000000
2260-332,A,332,Ask/Oslo Bussterminal,,3,,FFFFFF,000000
2260-811,A,811,Vilberg ESH/Oslo lufthavn,,3,,FFFFFF,000000
2260-815,A,815,Erikstellet/Oslo Lufthavn,,3,,FFFFFF,000000
2260-816,A,816,Finsbråten/Eidsvoll stasjon,,3,,FFFFFF,000000
2260-818,A,818,Heimvard/Oslo Lufthavn via Sand,,3,,FFFFFF,000000
2260-821,A,821,Frilset/Årnes stasjon,,3,,FFFFFF,000000
2260-823,A,823,Eidsvoll stasjon/Eidsvoll stasjon,,3,,FFFFFF,000000
2260-825,A,825,Bøn sykehjem/Sagasenteret,,3,,FFFFFF,000000
2260-831,A,831,Dysterud/Kløfta stasjon,,3,,FFFFFF,000000
2260-833,A,833,Dysterud/Årnes stasjon,,3,,FFFFFF,000000
2260-834,A,834,Årnes stasjon/Årnes stasjon,,3,,FFFFFF,000000
2260-835,A,835,Rånåsfoss/Runni us.,,3,,FFFFFF,000000
2260-836,A,836,Årnes stasjon/Rånåsfoss stasjon,,3,,FFFFFF,000000
2260-838,A,838,Årnes stasjon/Oslo Lufthavn,,3,,FFFFFF,000000
2260-847,A,847,Nitteberg/Ask,,3,,FFFFFF,000000
2260-848,A,848,Nannestad torg/Lillestrøm,,3,,FFFFFF,000000
2260-851,A,851,Frogner stasjon/Oslo lufthavn,,3,,FFFFFF,000000
2260-855,A,855,Kopperud/Oslo Lufthavn,,3,,FFFFFF,000000
2260-2601,A,2871,Ask/Rælingen vgs.,,3,,FFFFFF,000000
2260-2602,A,3431,Ask/Ask terminal,,3,,FFFFFF,000000
2260-2603,A,3531,Brattfoss/Algarheim skole,,3,,FFFFFF,000000
2260-2604,A,3532,Dagsjøveien/Nye Nordkisa skole,,3,,FFFFFF,000000
2260-2605,A,3533,Lundsletta/Vesong us.,,3,,FFFFFF,000000
2260-2606,A,3534,Stokker/Borgen skole,,3,,FFFFFF,000000
2260-2607,A,3535,Sætreringen/Mogreina skole,,3,,FFFFFF,000000
2260-2608,A,3537,Åreppen skole/Åreppen skole,,3,,FFFFFF,000000
2260-2609,A,3538,Nybakk/Gystadmarka,,3,,FFFFFF,000000
2260-2610,A,3541,Nordby u. skole/Hannestad,,3,,FFFFFF,000000
2260-2611,A,3542,Algarheim skole/Gystadmarka skole,,3,,FFFFFF,000000
2260-2612,A,3571,Furulundveien/Jessheim vgs.,,3,,FFFFFF,000000
2260-2613,A,3573,Eidsvoll stasjon/Bekkebakken,,3,,FFFFFF,000000
2260-2614,A,3574,Myrhus/Jessheim vgs.,,3,,FFFFFF,000000
2260-2615,A,3575,Korslund/Jessheim stasjon,,3,,FFFFFF,000000
2260-2616,A,3576,Nordkisa skole/Jessheim vgs.,,3,,FFFFFF,000000
2260-2617,A,3631,Neskollen/Runni us.,,3,,FFFFFF,000000
2260-2618,A,3632,Haga stasjon/Runni us.,,3,,FFFFFF,000000
2260-2619,A,3633,Frilset/Neskollen,,3,,FFFFFF,000000
2260-2620,A,3634,Neskollen/Vormsund b & us.,,3,,FFFFFF,000000
2260-2621,A,3635,Vormsund u. skole/Rolstad-Holter,,3,,FFFFFF,000000
2260-2622,A,3636,Neskollen/Arnestad-Lillerommen,,3,,FFFFFF,000000
2260-2623,A,3637,Rød/Fenstad skole,,3,,FFFFFF,000000
2260-2624,A,3638,Fallet/Neskollen,,3,,FFFFFF,000000
2260-2625,A,3639,Herbergåsen/Vormsund b & us.,,3,,FFFFFF,000000
2260-2626,A,3640,Sliperisvingen/Skogbygda skole,,3,,FFFFFF,000000
2260-2627,A,3641,Vormsund/Skogbygda skole,,3,,FFFFFF,000000
2260-2628,A,3643,Simarud/Neskollen,,3,,FFFFFF,000000
2260-2629,A,3644,Fuglefjellet/Neskollen,,3,,FFFFFF,000000
2260-2630,A,3650,Runni u. skole/Sandbergveien,,3,,FFFFFF,000000
2260-2631,A,3651,Runni u. skole/Årnes Møbler,,3,,FFFFFF,000000
2260-2632,A,3652,Opaker/Østgård skole,,3,,FFFFFF,000000
2260-2633,A,3655,Runni u. skole/Bodung,,3,,FFFFFF,000000
2260-2634,A,3657,Årnes stasjon/Framtun skole,,3,,FFFFFF,000000
2260-2635,A,3658,Huserteiet/Framtun skole,,3,,FFFFFF,000000
2260-2636,A,3659,Auli mølle/Runni us.,,3,,FFFFFF,000000
2260-2637,A,3671,Aulifeltet/Runni us.,,3,,FFFFFF,000000
2260-2638,A,3674,Fallet/Vormsund,,3,,FFFFFF,000000
2260-2639,A,3681,Årnes stasjon/Hvam vgs.,,3,,FFFFFF,000000
2260-2640,A,3683,Munkerudteiet/Hvam vgs.,,3,,FFFFFF,000000
2260-2641,A,3686,Runni u. skole/Rånåsfoss,,3,,FFFFFF,000000
2260-2642,A,3687,Årnes stasjon/Sørumsand stasjon,,3,,FFFFFF,000000
2260-2643,A,3731,Knofsløkka/Vilberg skole,,3,,FFFFFF,000000
2260-2644,A,3732,Furusetsenter/Vilberg skole,,3,,FFFFFF,000000
2260-2645,A,3733,Smedstadgutua/Langset skole,,3,,FFFFFF,000000
2260-2646,A,3734,Skovseth/Vilberg us.,,3,,FFFFFF,000000
2260-2647,A,3735,Vilberg u. skole/Dal stasjon,,3,,FFFFFF,000000
2260-2648,A,3736,Langset skole/Skovseth,,3,,FFFFFF,000000
2260-2649,A,3737,Stensby sykehus/Langset skole,,3,,FFFFFF,000000
2260-2650,A,3739,Løkenvangen/Dal skole,,3,,FFFFFF,000000
2260-2651,A,3740,Venger/Råholthallen,,3,,FFFFFF,000000
2260-2652,A,3742,Linderud/Ås skole,,3,,FFFFFF,000000
2260-2653,A,3743,Finstad/Råholthallen,,3,,FFFFFF,000000
2260-2654,A,3744,Feiring skole/Tansem,,3,,FFFFFF,000000
2260-2655,A,3771,Olavsgaard/Vilberg skole,,3,,FFFFFF,000000
2260-2656,A,3772,Jessheim stasjon/Vilberg skole,,3,,FFFFFF,000000
2260-2657,A,3773,Ask/Eidsvoll vgs.,,3,,FFFFFF,000000
2260-2658,A,3778,Stubberud/Vilberg skole,,3,,FFFFFF,000000
2260-2659,A,3779,Skimten/Vilberg skole,,3,,FFFFFF,000000
2260-2660,A,3780,Eidsvoll stasjon/Vormsund,,3,,FFFFFF,000000
2260-2661,A,3781,Langset skole/Eidsvoll stasjon,,3,,FFFFFF,000000
2260-2662,A,3783,Langset skole/Eidsvoll stasjon,,3,,FFFFFF,000000
2260-2663,A,3831,Fagerli sykehjem/Preståsen skole pl.,,3,,FFFFFF,000000
2260-2664,A,3832,Åmål/Nannestad vgs.,,3,,FFFFFF,000000
2260-2665,A,3833,Ask/Preståsen skole pl.,,3,,FFFFFF,000000
2260-2666,A,3834,Åmål/Nannestad vgs.,,3,,FFFFFF,000000
2260-2667,A,3835,Preståsen skole/Nannestad torg,,3,,FFFFFF,000000
2260-2668,A,3836,Kringlerdalen/Kringler Slattum skpl,,3,,FFFFFF,000000
2260-2669,A,3837,Eltonåsen skole/Fagerli sykehjem,,3,,FFFFFF,000000
2260-2670,A,3838,Nannestad torg/Nannestad torg,,3,,FFFFFF,000000
2260-2671,A,3839,Maura skole/Sandnesseter,,3,,FFFFFF,000000
2260-2672,A,3872,Eidsvoll stasjon/Nannestad vgs.,,3,,FFFFFF,000000
2260-2673,A,3873,Sætreringen/Nannestad vgs.,,3,,FFFFFF,000000
2260-2674,A,3874,Olavsgaard/Nannestad vgs.,,3,,FFFFFF,000000
2260-2675,A,3875,Vassenden/Nannestad vgs.,,3,,FFFFFF,000000
2260-2676,A,3876,Eltonåsen/Nannestad,,3,,FFFFFF,000000
2260-2677,A,3877,Eltonåsen/Nannestad via-Åsvegen,,3,,FFFFFF,000000
2260-2678,A,3935,Rustad snuplass/Hurdal torg,,3,,FFFFFF,000000
2260-2679,A,3936,Vassenden/Oslo lufthavn-ankomst,,3,,FFFFFF,000000
2362-301,A,301,Åneby/Oslo Bussterminal,,3,,FFFFFF,000000
2362-302,A,302,Kongskog/Oslo Bussterminal,,3,,FFFFFF,000000
2362-309,A,309,Hellerudhaugen/Jernbanetorget,,3,,FFFFFF,000000
2362-321,A,321,Lillestrøm terminal/Oslo Bussterminal,,3,,FFFFFF,000000
2362-339,A,339,Dokkveien/Eltonåsen,,3,,FFFFFF,000000
