from_stop_id,to_stop_id,transfer_type,min_transfer_time
1016146,1016146,0,
1016175,1016175,0,
1016205,1016205,0,
1016210,1016210,0,
1016225,1016225,0,
1016230,1016230,0,
1016240,1016240,0,
1016435,1016435,0,
1016885,1016885,0,
1016890,1016890,0,
1016895,1016895,0,
1040110,1040110,0,
1040130,1040130,0,
1040150,1040150,0,
1040185,1040185,0,
1040190,1040190,0,
1040355,1040355,0,
1040421,1040421,0,
1040450,1040450,0,
1040461,1040461,0,
1040465,1040465,0,
1040473,1040473,0,
1040480,1040480,0,
1040482,1040482,0,
1040495,1040495,0,
1040510,1040510,0,
1040535,1040535,0,
1040560,1040560,0,
1040561,1040561,0,
1040650,1040650,0,
1040651,1040651,0,
1040652,1040652,0,
1040660,1040660,0,
1041000,1041000,0,
1052025,1052025,0,
1052030,1052030,0,
1052300,1052300,0,
1052301,1052301,0,
1052310,1052310,0,
1052339,1052339,0,
1052340,1052340,0,
1052341,1052341,0,
1052565,1052565,0,
1052610,1052610,0,
1052615,1052615,0,
1053675,1053675,0,
1053760,1053760,0,
1053790,1053790,0,
1053793,1053793,0,
1053820,1053820,0,
1053825,1053825,0,
1053831,1053831,0,
1053835,1053835,0,
1053845,1053845,0,
1053935,1053935,0,
1054105,1054105,0,
1054190,1054190,0,
1054220,1054220,0,
1054685,1054685,0,
1054686,1054686,0,
1054690,1054690,0,
1054725,1054725,0,
1054820,1054820,0,
1054825,1054825,0,
1054865,1054865,0,
1054895,1054895,0,
1054920,1054920,0,
1054945,1054945,0,
1054981,1054981,0,
1054985,1054985,0,
1055085,1055085,0,
1061895,1061895,0,
1061896,1061896,0,
1061910,1061910,0,
1061920,1061920,0,
1061980,1061980,0,
1062655,1062655,0,
1062695,1062695,0,
1062696,1062696,0,
1062710,1062710,0,
1065235,1065235,0,
1065590,1065590,0,
1065630,1065630,0,
1065655,1065655,0,
1065821,1065821,0,
1065885,1065885,0,
1068565,1068565,0,
1068595,1068595,0,
1068605,1068605,0,
1069115,1069115,0,
1069155,1069155,0,
1069395,1069395,0,
1069406,1069406,0,
1069410,1069410,0,
1069445,1069445,0,
1069615,1069615,0,
1069641,1069641,0,
1069700,1069700,0,
1069901,1069901,0,
1069910,1069910,0,
1069945,1069945,0,
1069965,1069965,0,
1069980,1069980,0,
1118640,1118640,0,
1118675,1118675,0,
1118735,1118735,0,
1118935,1118935,0,
1187320,1187320,0,
1197425,1197425,0,
1223280,1223280,0,
1223285,1223285,0,
1231820,1231820,0,
1233380,1233380,0,
1241890,1241890,0,
1242295,1242295,0,
1242760,1242760,0,
1242765,1242765,0,
1242768,1242768,0,
1242850,1242850,0,
1242961,1242961,0,
1242962,1242962,0,
1243555,1243555,0,
1253135,1253135,0,
1253145,1253145,0,
1253170,1253170,0,
1284375,1284375,0,
1351190,1351190,0,
1351195,1351195,0,
1351230,1351230,0,
1351240,1351240,0,
1351460,1351460,0,
1351465,1351465,0,
1355191,1355191,0,
1360700,1360700,0,
1360705,1360705,0,
1360740,1360740,0,
1360880,1360880,0,
1360970,1360970,0,
1361070,1361070,0,
1361075,1361075,0,
1361115,1361115,0,
1361116,1361116,0,
1361141,1361141,0,
1361142,1361142,0,
1372115,1372115,0,
1381775,1381775,0,
1381777,1381777,0,
1381800,1381800,0,
2110030,2110030,0,
2110085,2110085,0,
2110086,2110086,0,
2110103,2110103,0,
2110142,2110142,2,60
2110210,2110210,0,
2110301,2110301,0,
2110312,2110312,0,
2110411,2110411,0,
2130101,2130101,0,
2130108,2130108,0,
2130170,2130170,2,60
2130180,2130180,0,
2130200,2130200,0,
2130201,2130201,0,
2130203,2130203,0,
2130301,2130301,0,
2130308,2130308,0,
2130501,2130501,0,
2130701,2130701,0,
2130704,2130704,0,
2130705,2130705,0,
2130712,2130712,0,
2140022,2140022,0,
2140024,2140024,0,
2140030,2140030,0,
2140031,2140031,0,
2140040,2140040,0,
2140050,2140050,0,
2140090,2140090,0,
2140148,2140148,0,
2140190,2140190,0,
2140201,2140201,0,
2140220,2140220,0,
2140221,2140221,0,
